Date,Open,High,Low,Close,Volume,Close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1690358400000,29216.61000000,29240.54000000,29210.00000000,29222.66000000,667.58339000,1690361999999,19511736.61671310,18013,324.31905000,9478766.20004470,0
1690362000000,29222.66000000,29231.56000000,29165.00000000,29192.45000000,782.77182000,1690365599999,22856946.30465170,20993,287.85583000,8404861.37223000,0
1690365600000,29192.45000000,29202.00000000,29165.00000000,29192.55000000,575.70336000,1690369199999,16802989.50329310,18358,240.68629000,7024643.94809220,0
1690369200000,29192.54000000,29218.00000000,29160.33000000,29175.39000000,792.42820000,1690372799999,23133478.99274530,18964,271.50251000,7925418.39774310,0
1690372800000,29175.39000000,29243.43000000,29166.36000000,29229.13000000,711.11796000,1690376399999,20776766.45015040,20183,383.99775000,11218945.07986660,0
1690376400000,29229.13000000,29321.69000000,29229.12000000,29306.54000000,1502.97312000,1690379999999,43999670.84632920,34136,798.30317000,23368813.29347910,0
1690380000000,29306.54000000,29354.00000000,29206.89000000,29267.54000000,1814.07053000,1690383599999,53111853.55351400,36895,787.31698000,23055675.52023710,0
1690383600000,29267.54000000,29337.33000000,29267.12000000,29324.00000000,1152.09303000,1690387199999,33762242.08689300,26589,530.28856000,15540141.46091950,0
1690387200000,29324.01000000,29369.55000000,29271.23000000,29302.43000000,1480.34290000,1690390799999,43407300.78021270,30910,662.86488000,19435297.02474570,0
1690390800000,29302.43000000,29325.00000000,29243.24000000,29268.90000000,959.90410000,1690394399999,28121885.40215210,25374,433.85976000,12710808.01352550,0
1690394400000,29268.91000000,29499.00000000,29230.01000000,29377.50000000,4709.75871000,1690397999999,138261829.47079190,91582,2424.35194000,71171205.50129930,0
1690398000000,29377.50000000,29401.94000000,29195.00000000,29401.93000000,2214.61506000,1690401599999,64915869.55280590,50392,1076.48664000,31554072.69312050,0
1690401600000,29401.93000000,29690.00000000,29390.00000000,29578.09000000,4595.91189000,1690405199999,135889270.92285640,76199,2376.79705000,70246037.37979220,0
1690405200000,29578.09000000,29658.36000000,29428.27000000,29466.00000000,1788.22721000,1690408799999,52840648.72755820,41577,814.19669000,24056299.83232290,0
1690408800000,29465.99000000,29507.39000000,29430.44000000,29476.01000000,971.04212000,1690412399999,28612935.10359900,22729,462.33867000,13623102.46277280,0
1690412400000,29476.01000000,29530.08000000,29280.01000000,29351.96000000,1607.93235000,1690415999999,47250673.45735110,33553,757.74534000,22264977.16485310,0
1690416000000,29351.95000000,29360.87000000,29302.01000000,29356.09000000,599.30474000,1690419599999,17578761.99977940,19477,296.68246000,8702455.59881790,0
1690419600000,29356.10000000,29418.17000000,29339.94000000,29399.99000000,770.62376000,1690423199999,22641982.01643410,19718,379.26321000,11143393.77369680,0
1690423200000,29400.00000000,29440.00000000,29346.14000000,29437.81000000,515.29314000,1690426799999,15138811.56495500,17526,291.19321000,8555750.48440020,0
1690426800000,29437.80000000,29450.44000000,29405.77000000,29405.78000000,547.84427000,1690430399999,16122693.81796400,17042,228.06399000,6711569.48442210,0
1690430400000,29405.78000000,29490.00000000,29405.77000000,29488.36000000,767.80041000,1690433999999,22610253.82122950,18710,353.12398000,10399176.86537720,0
1690434000000,29488.36000000,29499.41000000,29454.37000000,29460.00000000,891.64512000,1690437599999,26283006.30853390,19167,330.66775000,9747072.38054530,0
1690437600000,29460.01000000,29477.50000000,29378.60000000,29384.01000000,909.41591000,1690441199999,26759324.90423730,20106,311.74050000,9172182.19711650,0
1690441200000,29384.02000000,29467.50000000,29380.88000000,29412.17000000,918.96216000,1690444799999,27046550.47840530,23517,432.31510000,12723256.28035440,0
1690444800000,29412.18000000,29470.83000000,29396.00000000,29470.82000000,794.40460000,1690448399999,23377704.03126560,23806,389.83538000,11472879.54649440,0
1690448400000,29470.83000000,29567.49000000,29466.94000000,29544.02000000,1003.05547000,1690451999999,29606248.91641290,27190,522.01962000,15408250.54138900,0
1690452000000,29544.01000000,29554.90000000,29472.51000000,29479.50000000,987.36130000,1690455599999,29145565.99440540,26093,364.26150000,10752307.42210630,0
1690455600000,29479.49000000,29524.56000000,29468.00000000,29507.03000000,495.15861000,1690459199999,14604966.70509090,18610,221.91980000,6545043.09862820,0
1690459200000,29507.02000000,29507.03000000,29460.00000000,29496.41000000,810.80814000,1690462799999,23907031.47576360,22908,412.18085000,12152990.00844090,0
1690462800000,29496.42000000,29502.50000000,29431.19000000,29446.02000000,1066.31824000,1690466399999,31419762.80795460,25795,555.76713000,16374181.98601970,0
1690466400000,29446.01000000,29446.02000000,29322.49000000,29350.00000000,1714.18262000,1690469999999,50369003.84226640,39243,761.88363000,22386980.58196250,0
1690470000000,29350.00000000,29361.68000000,29236.78000000,29292.01000000,1816.42610000,1690473599999,53233228.12454830,41574,853.46910000,25010691.29285400,0
1690473600000,29292.00000000,29333.22000000,29261.25000000,29274.93000000,1012.68895000,1690477199999,29667170.16166100,26258,471.12410000,13802309.71828750,0
1690477200000,29274.93000000,29292.06000000,29180.00000000,29220.00000000,1363.48368000,1690480799999,39879867.29644640,33837,585.70625000,17131000.81351300,0
1690480800000,29219.99000000,29249.99000000,29083.85000000,29141.37000000,2161.19763000,1690484399999,63036474.15750480,48533,1008.42450000,29412691.54856290,0
1690484400000,29141.38000000,29178.94000000,29104.11000000,29163.83000000,1000.72525000,1690487999999,29163209.29502900,25632,507.43276000,14786411.66404200,0
1690488000000,29163.83000000,29191.87000000,29133.50000000,29144.56000000,719.92422000,1690491599999,20993975.98701840,19474,322.44395000,9403027.74332160,0
1690491600000,29144.56000000,29235.00000000,29142.01000000,29187.15000000,520.58728000,1690495199999,15192706.48952340,17304,232.85020000,6795358.34082050,0
1690495200000,29187.16000000,29238.00000000,29187.15000000,29202.29000000,540.33274000,1690498799999,15788234.12859930,17323,285.13942000,8331126.08857160,0
1690498800000,29202.29000000,29225.88000000,29179.95000000,29222.78000000,548.93192000,1690502399999,16027623.01932910,14202,267.44910000,7808768.27149170,0
1690502400000,29222.78000000,29305.30000000,29209.70000000,29273.00000000,708.67920000,1690505999999,20724923.19015380,19556,375.10959000,10970429.26480960,0
1690506000000,29273.00000000,29295.22000000,29256.64000000,29260.75000000,737.20751000,1690509599999,21580869.13887000,15108,375.64932000,10997184.62253470,0
1690509600000,29260.75000000,29263.37000000,29188.15000000,29229.99000000,763.38834000,1690513199999,22312381.12283600,16577,293.71280000,8584477.08129150,0
1690513200000,29230.00000000,29290.00000000,29202.84000000,29253.85000000,800.03773000,1690516799999,23392068.75701780,17287,384.36707000,11238045.08811980,0
1690516800000,29253.84000000,29266.00000000,29224.00000000,29260.00000000,789.54439000,1690520399999,23089416.91428330,16484,361.99630000,10586273.75425570,0
1690520400000,29259.99000000,29262.73000000,29156.85000000,29185.99000000,797.61871000,1690523999999,23298059.05629170,19905,320.02041000,9347523.97189330,0
1690524000000,29186.00000000,29206.11000000,29162.76000000,29190.01000000,901.79774000,1690527599999,26325279.08609800,17712,409.45910000,11952709.75287020,0
1690527600000,29190.01000000,29196.75000000,29135.15000000,29140.80000000,1294.49639000,1690531199999,37759180.25457490,22162,560.41051000,16345352.05146700,0
1690531200000,29140.79000000,29186.22000000,29123.12000000,29152.00000000,1066.68028000,1690534799999,31102057.15407920,21891,461.90737000,13468515.02879770,0
1690534800000,29152.00000000,29232.83000000,29126.09000000,29213.94000000,1295.95758000,1690538399999,37785306.75376450,22912,680.43920000,19837219.48086640,0
1690538400000,29213.94000000,29232.99000000,29203.65000000,29218.91000000,813.84231000,1690541999999,23778395.94794840,20653,373.79937000,10921397.98376460,0
1690542000000,29218.91000000,29246.08000000,29195.40000000,29206.59000000,647.14738000,1690545599999,18907668.27023310,19053,250.75495000,7326527.11059550,0
1690545600000,29206.58000000,29327.37000000,29206.58000000,29306.01000000,1017.67317000,1690549199999,29791951.70571840,27387,571.79585000,16737791.73513040,0
1690549200000,29306.01000000,29319.00000000,29251.81000000,29293.41000000,906.11944000,1690552799999,26538055.49623100,25530,444.90253000,13028998.36715320,0
1690552800000,29293.42000000,29518.00000000,29293.41000000,29487.41000000,3225.98364000,1690556399999,94905947.92087650,61482,1894.01110000,55716009.25509430,0
1690556400000,29487.41000000,29542.22000000,29353.99000000,29387.99000000,2085.55405000,1690559999999,61441271.89163860,45042,1025.13557000,30206436.08727950,0
1690560000000,29387.99000000,29399.98000000,29338.00000000,29361.41000000,1179.17906000,1690563599999,34630446.16340900,25371,499.80733000,14677593.28445470,0
1690563600000,29361.40000000,29361.41000000,29194.05000000,29259.36000000,2067.02411000,1690567199999,60481124.85026530,39261,884.67861000,25887207.91833770,0
1690567200000,29259.36000000,29332.11000000,29242.93000000,29309.15000000,736.81316000,1690570799999,21581090.44188450,18794,411.08966000,12040117.89729230,0
1690570800000,29309.16000000,29329.69000000,29285.70000000,29316.00000000,658.50025000,1690574399999,19299844.44648380,16169,259.01273000,7590680.94624600,0
1690574400000,29316.00000000,29339.66000000,29284.68000000,29338.48000000,420.84827000,1690577999999,12335381.94674940,16120,172.59353000,5058739.70928960,0
1690578000000,29338.48000000,29364.46000000,29303.01000000,29313.77000000,343.12549000,1690581599999,10064919.37267950,13978,152.02839000,4459527.65917770,0
1690581600000,29313.77000000,29315.61000000,29292.00000000,29292.00000000,504.00505000,1690585199999,14768025.36314740,14465,136.86470000,4010473.22353760,0
1690585200000,29292.01000000,29326.00000000,29290.01000000,29314.14000000,232.39302000,1690588799999,6811411.59263190,10278,122.81542000,3599685.81407010,0
1690588800000,29314.14000000,29344.58000000,29296.00000000,29325.84000000,366.78849000,1690592399999,10755373.17125450,14222,208.78447000,6121800.57573170,0
1690592400000,29325.83000000,29382.09000000,29323.25000000,29382.08000000,739.27317000,1690595999999,21702713.98245170,14516,497.19679000,14598089.58281600,0
1690596000000,29382.09000000,29396.15000000,29366.67000000,29379.08000000,1032.07282000,1690599599999,30323226.12544100,16684,631.95748000,18568166.98604810,0
1690599600000,29379.08000000,29384.00000000,29365.12000000,29371.89000000,390.22286000,1690603199999,11463304.69706020,12581,170.32548000,5003482.01202430,0
1690603200000,29371.90000000,29406.92000000,29365.47000000,29380.91000000,446.82839000,1690606799999,13129849.58433010,13068,240.01126000,7052585.75231250,0
1690606800000,29380.92000000,29380.92000000,29345.01000000,29370.42000000,312.08992000,1690610399999,9164532.77916550,11155,132.16513000,3880923.85183570,0
1690610400000,29370.42000000,29370.42000000,29329.66000000,29345.29000000,888.07661000,1690613999999,26064350.55323810,15578,411.59861000,12079643.20416030,0
1690614000000,29345.30000000,29351.11000000,29295.00000000,29295.01000000,531.52148000,1690617599999,15585572.48339550,14803,172.99471000,5073675.90300020,0
1690617600000,29295.00000000,29330.55000000,29256.18000000,29295.44000000,647.21818000,1690621199999,18962225.64462000,17234,330.03599000,9669164.39066920,0
1690621200000,29295.44000000,29300.14000000,29265.73000000,29282.00000000,626.82238000,1690624799999,18355707.17097050,14713,320.00777000,9370890.49603320,0
1690624800000,29282.00000000,29294.24000000,29260.81000000,29282.01000000,271.67292000,1690628399999,7955302.95885040,11725,110.20995000,3227286.71608600,0
1690628400000,29282.01000000,29304.00000000,29267.15000000,29267.16000000,444.20990000,1690631999999,13007056.07150500,14516,220.03468000,6443044.16263780,0
1690632000000,29267.16000000,29335.25000000,29261.87000000,29294.01000000,661.01850000,1690635599999,19365801.00643770,20319,373.43544000,10940603.54560940,0
1690635600000,29294.00000000,29332.25000000,29289.29000000,29293.98000000,564.29946000,1690639199999,16539309.82798260,17645,267.93528000,7853007.79403930,0
1690639200000,29293.98000000,29316.00000000,29279.15000000,29282.74000000,406.30877000,1690642799999,11904713.93127470,16433,213.79401000,6264335.92770200,0
1690642800000,29282.75000000,29295.87000000,29282.74000000,29292.34000000,302.01891000,1690646399999,8846383.41837390,13421,127.96035000,3747900.64619850,0
1690646400000,29292.34000000,29308.46000000,29290.68000000,29308.46000000,206.14006000,1690649999999,6039067.12361770,12187,76.96519000,2254736.84151790,0
1690650000000,29308.46000000,29331.39000000,29297.26000000,29325.57000000,277.36592000,1690653599999,8131010.67303250,14284,132.78422000,3892571.11726710,0
1690653600000,29325.56000000,29331.10000000,29290.60000000,29307.51000000,366.92489000,1690657199999,10752684.93901060,13708,167.68479000,4913724.47576820,0
1690657200000,29307.52000000,29349.62000000,29307.51000000,29338.02000000,290.02505000,1690660799999,8507920.80728560,13838,145.93191000,4280686.42779390,0
1690660800000,29338.03000000,29380.92000000,29338.02000000,29355.23000000,403.44937000,1690664399999,11845525.08725590,15323,232.41121000,6823345.22657950,0
1690664400000,29355.23000000,29366.65000000,29346.94000000,29348.09000000,243.07873000,1690667999999,7135988.93719330,11911,82.63647000,2425937.04149040,0
1690668000000,29348.09000000,29366.56000000,29348.00000000,29352.36000000,251.32961000,1690671599999,7378168.68417090,11220,107.43708000,3153909.40809810,0
1690671600000,29352.35000000,29370.02000000,29352.34000000,29352.90000000,182.61205000,1690675199999,5360944.21872520,8666,68.79395000,2019576.07925710,0
1690675200000,29352.90000000,29352.92000000,29320.49000000,29348.83000000,270.79962000,1690678799999,7945249.19470580,12706,124.14070000,3642055.14026360,0
1690678800000,29348.82000000,29348.83000000,29324.60000000,29326.73000000,206.29523000,1690682399999,6051602.46962940,11145,65.12700000,1910405.70481870,0
1690682400000,29326.74000000,29326.74000000,29306.03000000,29313.34000000,361.91067000,1690685999999,10608873.91689790,10702,162.83403000,4773175.07163440,0
1690686000000,29313.35000000,29318.69000000,29313.34000000,29314.92000000,132.65228000,1690689599999,3888854.81773590,8742,51.12260000,1498707.29098780,0
1690689600000,29314.93000000,29327.43000000,29311.37000000,29325.31000000,351.11193000,1690693199999,10294240.15418230,11488,185.78746000,5447124.64691470,0
1690693200000,29325.30000000,29331.98000000,29312.16000000,29312.94000000,226.09436000,1690696799999,6629372.36016070,10412,70.35001000,2062604.49662150,0
1690696800000,29312.94000000,29312.94000000,29268.65000000,29286.98000000,457.74416000,1690700399999,13405294.11045870,16015,217.25517000,6362053.89447720,0
1690700400000,29286.99000000,29298.51000000,29278.61000000,29294.31000000,338.65150000,1690703999999,9918226.29528210,13162,175.40486000,5137154.83224820,0
1690704000000,29294.30000000,29306.37000000,29292.51000000,29292.52000000,430.14081000,1690707599999,12602647.50380210,12804,214.55941000,6286350.36767840,0
1690707600000,29292.52000000,29301.53000000,29277.71000000,29278.00000000,381.55057000,1690711199999,11174880.16872310,12470,184.67820000,5409130.47798490,0
1690711200000,29278.00000000,29287.60000000,29232.22000000,29278.32000000,520.03515000,1690714799999,15219891.56476390,16884,223.31710000,6535822.19955930,0
1690714800000,29278.32000000,29326.47000000,29256.00000000,29314.00000000,793.79867000,1690718399999,23256729.64383040,20503,456.12499000,13363045.03013380,0
1690718400000,29314.00000000,29329.85000000,29308.51000000,29324.01000000,669.94972000,1690721999999,19643704.83667460,17095,356.82026000,10462053.18366420,0
1690722000000,29324.01000000,29324.66000000,29278.38000000,29287.91000000,729.06697000,1690725599999,21364799.06897180,17524,394.98559000,11573706.45621730,0
1690725600000,29287.92000000,29425.00000000,29287.91000000,29391.81000000,1232.81261000,1690729199999,36188852.80697720,29508,699.58535000,20533562.84620160,0
1690729200000,29391.82000000,29449.00000000,29312.51000000,29349.37000000,1265.02340000,1690732799999,37200072.12055930,31790,631.42459000,18569032.62803520,0
1690732800000,29349.36000000,29405.66000000,29326.00000000,29380.02000000,555.22402000,1690736399999,16305035.09811130,19078,272.45095000,8000509.74520460,0
1690736400000,29380.01000000,29399.00000000,29359.41000000,29396.52000000,331.39131000,1690739999999,9736068.31206650,13707,158.14313000,4646578.28940640,0
1690740000000,29396.52000000,29399.18000000,29353.26000000,29355.99000000,290.08469000,1690743599999,8521655.55919500,11715,102.18334000,3001642.87057230,0
1690743600000,29356.00000000,29366.01000000,29113.51000000,29202.28000000,2165.06400000,1690747199999,63255339.02468460,45302,931.80230000,27215789.20340950,0
1690747200000,29202.28000000,29274.83000000,29033.24000000,29270.96000000,2412.36246000,1690750799999,70309528.75111140,58979,1240.10069000,36147481.78337570,0
1690750800000,29270.96000000,29270.96000000,29179.95000000,29213.87000000,538.74020000,1690754399999,15739449.00767810,18095,266.73839000,7792717.85957530,0
1690754400000,29213.86000000,29213.87000000,29150.00000000,29156.00000000,473.10550000,1690757999999,13804200.88607450,15793,205.93497000,6008198.66260120,0
1690758000000,29156.00000000,29284.00000000,29155.99000000,29281.09000000,573.36458000,1690761599999,16765811.97870580,19227,329.54545000,9633818.68894930,0
1690761600000,29281.09000000,29530.00000000,29264.00000000,29461.54000000,1968.15653000,1690765199999,57920114.76479340,43746,1161.42546000,34179775.29597560,0
1690765200000,29461.55000000,29488.00000000,29384.21000000,29451.99000000,929.21115000,1690768799999,27352635.08167510,24274,517.15119000,15222896.88986020,0
1690768800000,29452.00000000,29496.66000000,29428.88000000,29464.53000000,640.96114000,1690772399999,18883826.75066090,17569,276.23406000,8137837.24688520,0
1690772400000,29464.54000000,29468.00000000,29409.46000000,29421.99000000,571.32915000,1690775999999,16816536.74781890,14955,228.04124000,6711826.62550740,0
1690776000000,29422.00000000,29433.16000000,29381.55000000,29404.00000000,594.83765000,1690779599999,17493068.56213930,15544,248.15355000,7297471.72879870,0
1690779600000,29404.00000000,29417.96000000,29360.66000000,29380.02000000,775.14453000,1690783199999,22787229.05818280,16214,345.42834000,10154158.40242130,0
1690783200000,29380.02000000,29443.68000000,29368.01000000,29411.23000000,828.34716000,1690786799999,24354575.24727280,18425,373.56322000,10982552.15168280,0
1690786800000,29411.22000000,29413.50000000,29372.17000000,29373.61000000,777.57447000,1690790399999,22856483.88250390,16509,322.89734000,9491490.87847570,0
1690790400000,29373.62000000,29420.06000000,29356.04000000,29391.30000000,941.64361000,1690793999999,27667171.43307440,19946,484.04146000,14221602.36238420,0
1690794000000,29391.30000000,29393.87000000,29332.32000000,29383.96000000,695.64562000,1690797599999,20424017.73000650,19086,333.72395000,9797497.60931210,0
1690797600000,29383.96000000,29410.00000000,29376.44000000,29389.85000000,707.14742000,1690801199999,20781409.41130920,15678,356.67739000,10481546.49346180,0
1690801200000,29389.85000000,29406.00000000,29384.98000000,29405.99000000,723.26236000,1690804799999,21260595.19070470,16072,352.03010000,10347758.84226740,0
1690804800000,29405.99000000,29473.97000000,29396.00000000,29472.50000000,1238.33849000,1690808399999,36440550.60384600,23836,687.84594000,20242262.75240390,0
1690808400000,29472.50000000,29472.51000000,29312.59000000,29363.99000000,1220.79773000,1690811999999,35892318.68484940,31204,462.29744000,13588706.68455480,0
1690812000000,29364.00000000,29367.78000000,29269.43000000,29302.45000000,1095.73028000,1690815599999,32129481.11762000,31272,491.01678000,14398049.29444200,0
1690815600000,29302.46000000,29342.59000000,29225.97000000,29247.98000000,1290.91280000,1690819199999,37801322.89233890,35549,608.00887000,17804436.54987160,0
1690819200000,29247.99000000,29265.27000000,29179.44000000,29232.51000000,1266.18063000,1690822799999,37010889.38157760,31416,640.87721000,18732821.60941480,0
1690822800000,29232.50000000,29274.99000000,29153.00000000,29215.99000000,1071.35577000,1690826399999,31295588.18147950,27424,577.57839000,16872479.21692260,0
1690826400000,29216.00000000,29218.76000000,29150.00000000,29195.74000000,838.20106000,1690829999999,24469095.59294570,23492,387.69358000,11317252.03945810,0
1690830000000,29195.74000000,29237.54000000,29101.80000000,29157.48000000,1346.13232000,1690833599999,39292943.47208210,30546,562.17447000,16408052.02685870,0
1690833600000,29157.49000000,29257.99000000,29115.64000000,29208.27000000,1340.23541000,1690837199999,39126520.73868070,36089,734.27381000,21435010.49090410,0
1690837200000,29208.28000000,29295.24000000,29158.46000000,29243.31000000,865.68795000,1690840799999,25297144.30960620,26473,452.09710000,13211745.69592320,0
1690840800000,29243.32000000,29243.32000000,29201.00000000,29209.99000000,441.45067000,1690844399999,12899015.46148210,15041,203.78311000,5953827.89231360,0
1690844400000,29210.00000000,29240.50000000,29190.00000000,29232.25000000,437.20574000,1690847999999,12772669.91058450,12755,222.21180000,6491103.51198660,0
1690848000000,29232.26000000,29288.20000000,29210.99000000,29283.96000000,720.85463000,1690851599999,21079473.86129770,17954,341.10168000,9975408.38358080,0
1690851600000,29283.96000000,29347.16000000,29169.37000000,29200.54000000,973.96678000,1690855199999,28501599.78370000,26866,457.28798000,13381379.53937320,0
1690855200000,29200.53000000,29218.74000000,28720.00000000,28933.22000000,5165.01282000,1690858799999,149557105.08699150,88074,2152.09462000,62301249.54442630,0
1690858800000,28933.22000000,28951.12000000,28813.86000000,28835.00000000,1813.18905000,1690862399999,52381318.24047590,37227,797.90100000,23053221.29285000,0
1690862400000,28835.01000000,28928.34000000,28803.50000000,28866.00000000,1752.08768000,1690865999999,50569543.06915020,31403,832.45833000,24025216.61794360,0
1690866000000,28866.00000000,28922.70000000,28852.00000000,28920.03000000,777.69583000,1690869599999,22470025.90595970,19383,386.29878000,11161566.47518730,0
1690869600000,28920.02000000,28970.81000000,28908.00000000,28914.29000000,984.08888000,1690873199999,28476392.05265040,24192,459.23698000,13288802.87860490,0
1690873200000,28914.29000000,28940.10000000,28899.70000000,28937.30000000,1450.98121000,1690876799999,41963410.64537920,26976,770.56593000,22285755.20216700,0
1690876800000,28937.31000000,28994.91000000,28907.04000000,28994.91000000,1025.98215000,1690880399999,29699039.77457760,21442,535.91879000,15513949.97905810,0
1690880400000,28994.91000000,28995.59000000,28926.82000000,28928.37000000,701.68997000,1690883999999,20316701.60716860,18388,272.62159000,7893029.18895040,0
1690884000000,28928.36000000,28946.00000000,28900.00000000,28928.01000000,1026.03779000,1690887599999,29671313.99874520,20151,319.02408000,9226202.13668670,0
1690887600000,28928.02000000,28930.57000000,28862.18000000,28862.19000000,891.02253000,1690891199999,25742212.54671610,22005,354.41154000,10239257.78308950,0
1690891200000,28862.19000000,28927.50000000,28753.74000000,28878.57000000,1913.25397000,1690894799999,55233069.12049160,41270,981.18141000,28331671.56062280,0
1690894800000,28878.57000000,28912.91000000,28864.00000000,28869.02000000,984.09424000,1690898399999,28427054.50599620,27805,473.90230000,13688633.13816020,0
1690898400000,28869.02000000,28902.12000000,28800.00000000,28828.18000000,1907.82089000,1690901999999,55047886.02760800,38642,776.99127000,22420661.27998040,0
1690902000000,28828.19000000,28980.00000000,28585.70000000,28954.00000000,4776.15951000,1690905599999,137574317.89055730,90114,2356.25946000,67883525.94315040,0
1690905600000,28953.99000000,29053.00000000,28864.01000000,28936.00000000,2367.75322000,1690909199999,68575263.96849380,53062,1153.08495000,33398044.21572290,0
1690909200000,28936.01000000,28988.74000000,28930.85000000,28954.01000000,986.04618000,1690912799999,28554763.18860540,24069,474.95060000,13753784.77122550,0
1690912800000,28954.00000000,29274.44000000,28954.00000000,29272.00000000,3044.90881000,1690916399999,88708029.13392260,59747,1766.50790000,51465536.37524590,0
1690916400000,29271.99000000,29335.00000000,29213.91000000,29274.41000000,2447.92477000,1690919999999,71636693.43192990,45778,1191.75871000,34875788.70295650,0
1690920000000,29274.42000000,29307.50000000,29180.00000000,29229.74000000,1437.95819000,1690923599999,42041566.65114240,28396,660.65886000,19314233.52311330,0
1690923600000,29229.75000000,29312.50000000,29194.12000000,29244.86000000,1015.21790000,1690927199999,29687347.85282030,22364,512.04315000,14974138.30957410,0
1690927200000,29244.87000000,29256.32000000,29199.65000000,29253.99000000,825.85436000,1690930799999,24139828.10813070,17193,521.46951000,15243995.31934440,0
1690930800000,29253.99000000,29739.25000000,29253.99000000,29705.99000000,5730.05026000,1690934399999,169106258.62541380,97640,3284.02114000,96900596.78251670,0
1690934400000,29705.99000000,29842.48000000,29682.01000000,29822.03000000,4862.31523000,1690937999999,144708069.91681820,83571,2447.79812000,72851855.99559860,0
1690938000000,29822.04000000,30047.50000000,29791.46000000,29844.88000000,4282.82785000,1690941599999,128118064.84720330,73893,2136.62603000,63924356.04240400,0
1690941600000,29844.89000000,29880.00000000,29788.73000000,29810.86000000,1558.63869000,1690945199999,46502058.03427300,31923,600.54987000,17916907.38688920,0
1690945200000,29810.86000000,29818.00000000,29622.50000000,29632.96000000,2188.47981000,1690948799999,65045637.21321230,40234,860.04739000,25558918.53145530,0
1690948800000,29632.96000000,29719.77000000,29582.04000000,29675.52000000,1723.06034000,1690952399999,51075716.62280940,30131,808.03505000,23953212.51059820,0
1690952400000,29675.52000000,29675.52000000,29604.77000000,29649.99000000,923.88241000,1690955999999,27380500.63348170,19683,419.94749000,12445577.32214660,0
