,CionScore,CoinDate
0,-0.9557338356971741,2022-01-01
1,-0.9461764973402024,2022/01/02
2,-0.46446823411517674,2022-01-03
3,-0.08661479609353202,2022-01-04
4,-0.17702270857989788,2022-01-05
5,-0.6014338433742523,2022-01-06
6,-0.31964131196339923,2022-01-07
7,-0.9645383954048157,2022-01-08
8,-0.6323563456535339,2022-01-09
9,-0.4662465751171112,2022-01-10
10,-0.28745884001255034,2022-01-11
11,-0.23370530870225695,2022-01-12
12,-0.1832560644699977,2022-01-13
13,-0.4752244438443865,2022-01-14
14,-0.47047219940594265,2022/01/15
15,-0.6288715799649557,2022-01-16
16,0.05576040595769882,2022-01-17
17,-0.5491344332695007,2022-01-18
18,-0.27344313534823333,2022-01-19
19,-0.3890251246365634,2022-01-20
20,-0.3733912543817,2022-01-21
21,-0.369657341837883,2022/01/22
22,-0.6446888645490011,2022-01-23
23,-0.41200674038666946,2022-01-24
24,-0.1295903708253588,2022-01-25
25,-0.3859333304258493,2022-01-26
26,-0.4375893152677096,2022-01-27
27,0.041619491577148435,2022-01-28
28,0.0,2022-01-29
29,-0.4435676634311676,2022-01-30
30,-0.6579618508165533,2022-01-31
31,-0.13583936761407292,2022-02-01
32,-0.22715608098290183,2022-02-02
33,-0.3867011268933614,2022-02-03
34,-0.01773146390914917,2022-02-04
35,-0.017554149270057676,2022/02/05
36,0.0,2022-02-06
37,-0.2727334449688594,2022-02-07
38,-0.3870885101231662,2022-02-08
39,0.09450943933592902,2022-02-09
40,-0.06728759137066928,2022-02-10
41,-0.18282735347747803,2022-02-11
42,-0.18099907994270326,2022/02/12
43,-0.8125992119312286,2022-02-13
44,-0.2790460765361786,2022-02-14
45,-0.12123430437511867,2022-02-15
46,-0.06572409139739142,2022-02-16
47,-0.5113556683063507,2022-02-17
48,-0.7099931240081787,2022-02-18
49,-0.7028931927680969,2022/02/19
50,-0.4842042922973633,2022-02-20
51,-0.5396899070058551,2022-02-21
52,-0.39645918011665343,2022-02-22
53,-0.41646140317122143,2022-02-23
54,-0.397404773781697,2022-02-24
55,-0.3171078860759735,2022-02-25
56,-0.01813240845998128,2022-02-26
57,-0.3133001923561096,2022-02-27
58,0.03032108147939046,2022-02-28
59,-0.06557381830432198,2022-03-01
60,-0.18417631089687347,2022-03-02
61,-0.15130813682780547,2022-03-03
62,-0.3910314043362935,2022-03-04
63,-0.38712109029293057,2022/03/05
64,0.0,2022-03-06
65,-0.33000269532203674,2022-03-07
66,-0.049474483355879784,2022-03-08
67,0.0032473087310791017,2022-03-09
68,-0.11846099581037249,2022-03-10
69,-0.3191142439842224,2022-03-11
70,0.0,2022-03-12
71,-0.31537580490112305,2022-03-13
72,-0.052088060549327304,2022-03-14
73,-0.1620297133922577,2022-03-15
74,0.1294672659465245,2022-03-16
75,0.1894481136248662,2022-03-17
76,-0.12801706790924072,2022-03-18
77,-0.1267368972301483,2022/03/19
78,-0.9168806672096252,2022-03-20
79,-0.39631544053554535,2022-03-21
80,0.19950441718101503,2022-03-22
81,-0.21056150931578416,2022-03-23
82,0.26990551153818765,2022-03-24
83,-0.0297991850159385,2022-03-25
84,-0.029501193165779115,2022/03/26
85,0.43050652742385864,2022-03-27
86,0.36292716589840973,2022-03-28
87,-0.028073503690607408,2022-03-29
88,-0.017245667822220746,2022-03-30
89,-0.31558703382809955,2022-03-31
90,-0.4561600188414256,2022-04-01
91,-0.4515984186530113,2022/04/02
92,0.06020417809486389,2022-04-03
93,-0.0037937370630411003,2022-04-04
94,-0.3971820003107974,2022-04-05
95,-0.27052435966638416,2022-04-06
96,-0.25372791290283203,2022-04-07
97,-0.1172781636317571,2022-04-08
98,-0.11610538199543953,2022/04/09
99,-0.48309770226478577,2022-04-10
